Eisenbahnkönig	15
Eisenbolzen	10
Eisenschweine	12
Eisenstahlbolzen	1
Ekelbolzen	2
Elbenkönig	8
Elbenschweine	1
Elefantenzuchtpapst	1
Elektronikpapst	3
Elfenkönig	86
Elitehengst	9
Emotionsbolzen	1
Endzeitapostel	1
Endzeitguru	1
Endzeit-Sektenguru	1
Energiebolzen	2
Energieguru	2
Energiepapst	1
Energiesparschwein	8
Engelpapst	7
Engelspapst	40
Engelspapsts	1
Enthüllungsguru	3
Entwicklungsdreck	1
Erbsenschwein	99
Erklärungsikone	1
Erlenkönig	13
Erlösergott	9
Ernährungsapostel	5
Ernährungsguru	2
Ernährungspapst	5
Ersatzapostel	1
Ersatzbolzen	1
Ersatzhengst	1
Ersatzkönig	15
Erstapostel	1
Erziehungsguru	1
Erziehungspapst	1
Eselhengst	16
Eselsgott	4
Esoterikguru	2
Etappenhengst	2
Eventpapst	2
Ewenkengott	1
Ewigkeitsgott	1
Exodusgott	4
Explosivbolzen	1
Exzenterbolzen	5
Fahrradlenkerbolzen	2
Falkengott	15
Familiendreck	1
Fangbolzen	2
Faschodreck	1
Faschoschweine	2
Fastpapst	1
Federbolzen	4
Federkönig	60
feel-good-guru	1
Feenkönig	39
Fernsehgott	2
Fernsehguru	2
Festikone	1
Fetenguru	5
Feuergott	72
Feuerkönig	12
Fickschweine	1
Filmgott	3
Filmguru	3
Filmikone	9
Filmlizenzdreck	1
Filmpapst	1
Finanzguru	10
Finanzierungsguru	1
Fischdreck	1
Fischerkönig	14
Fischkönig	20
Fischpapst	1
Fitnessapostel	1
Fitnessgott	2
Fitnessguru	4
Fitnesspapst	14
Fjordhengst	1
Flankengott	23
Fleischkönig	9
Fleißapostel	1
Flexibilitätsapostel	1
Fliegendreck	58
Fliegengott	7
Fliegergott	2
Flirtgott	1
Fluggott	1
Flusskönig	19
Flußkönig	11
Fohlenhengst	53
forengott	1
Fortschrittsapostel	4
Forumsgott	1
Frankenapostel	19
Frankenkönig	121
Frankenschweins	1
Frauenikone	1
Freihandelsapostel	3
Freihandelspapst	1
Freiheitsapostel	3
Freiheitsikone	2
Freistoßgott	4
Freizeitpapst	4
Fresspapst	2
Freudengott	1
Friedensapostel	53
Friedenskönig	53
Friedenspapst	38
Friedhofsgott	1
Friesenapostel	2
Friesenhengst	8
Friesenpapst	1
Frisurenikone	1
Frontikone	1
Froschkönig	400
Fructosegott	2
Frustbolzen	2
Fuchsgott	3
Fuchshengst	42
Führerschwein	2
Führungsbolzen	20
Fundamentbolzen	1
Fußballguru	2
Fussekguru	1
GaLaguru	1
Gameguru	1
Gangsterkönig	9
Gänsedreck	1
Gartengott	2
Gastroguru	1
Gebetsapostel	1
Geborgenheitsapostel	1
Gebotsgott	1
Gebührenpapst	1
Gedankendreck	1
Gefälligkeitsapostel	1
Gefühlsdreck	1
Gegenkönig	125
Gegenkulturikone	1
Gegenpapst	191
Gegenpapste	3
Geheimpapst	1
Geisterhengst	1
Geisterkönig	11
Gelddreck	3
geld-gott	2
Geldgott	6
Geldguru	4
Geldschwein	1
Gelenkbolzen	3
