4.168	6.605	4.971	2.203
5.613	2.834	4.997	3.814
4.339	6.137	4.757	4.877
4.691	5.121	4.374	5.474
6.273	3.835	6.437	5.985
5.706	4.901	5.163	4.455
4.206	8.063	4.726	3.166
5.775	5.233	5.918	5.57
6.197	3.448	5.967	5.404
3.803	4.179	4.982	6.624
3.824	3.943	3.948	4.871
4.261	4.35	3.86	6.386
4.416	3.102	4.526	4.669
3.28	4.192	3.042	4.544
4.691	3.757	6.273	5.105
2.727	4.127	4.159	5.864
4.918	3.908	5.435	6.718
6.842	4.612	7.429	6.608
6.069	3.586	5.746	5.998
8.216	4.563	8.489	5.933
6.3	5.845	6.948	5.337
6.389	3.36	6.621	4.714
4.603	3.411	4.297	6.101
4.656	1.972	4.681	5.938
3.403	2.894	3.977	5.942
4.224	5.21	4.925	6.193
2.046	2.632	3.022	5.741
4.574	2.579	4.203	4.304
6.581	3.881	7.226	5.767
3.957	4.091	4.451	5.916
7.795	1.724	7.63	5.367
4.021	5.117	4.751	4.626
5.222	4.417	6.062	5.929
6.828	5.303	8.313	5.599
6.402	3.142	6.589	6.703
5.629	4.653	6.013	5.578
4.717	5.271	5.64	2.917
5.089	4.579	5.959	4.59
5.897	3.791	5.431	5.036
6.347	3.862	6.464	5.688
5.297	4.531	5.67	5.355
6.09	3.692	6.53	4.771
4.843	5.985	5.059	4.933
1.37	4.853	3.104	5.104
3.243	5.238	3.472	6.402
6.711	3.57	6.304	6.519
6.09	3.692	6.53	4.771
6.824	3.453	7.31	6.062
5.779	3.565	6.215	4.91
1.863	6.091	3.434	6.109
3.375	4.175	3.627	5.566
6.148	5.141	5.421	5.571
5.428	4.843	4.167	5.628
3.431	4.133	2.927	6.538
5.353	3.763	4.251	5.173
4.065	4.343	4.624	5.255
3.454	3.703	2.975	5.373
2.496	4.741	3.291	6.56
3.429	4.146	3.45	5.725
3.577	4.345	4.157	6.475
2.56	8.724	4.483	1.841
5.467	4.185	6.078	7.551
5.519	4.808	5.646	5.138
6.658	3.519	6.199	5.673
2.799	4.307	2.996	5.336
6.562	3.873	7.565	5.606
5.097	4.665	5.89	5.577
3.399	4.593	4.026	5.716
6.433	4.56	6.536	5.605
5.703	7.946	5.92	2.819
4.954	6.564	5.327	3.384
4.834	5.862	5.314	6.157
2.077	5.387	4.208	7.728
3.637	4.968	4.943	6.534
3.325	3.834	4.496	6.267
4.939	3.824	4.476	5.526
5.177	3.149	4.555	4.903
5.497	2.723	5.462	5.401
7.092	3.763	7.029	5.771
7.525	5.68	7.114	2.184
7.714	3.141	7.735	4.904
5.486	2.943	5.479	4.942
2.651	4.709	4.428	7.956
3.702	6.303	5.364	6.24
5.395	1.894	4.491	4.942
4.808	4.649	4.283	4.945
5.933	6.486	7.12	6.596
3.804	3.776	5.608	5.776
5.825	2.927	5.411	6.671
4.859	4.388	5.004	4.83
3.662	6.287	4.804	5.775
2.67	4.117	3.326	5.406
4.041	3.12	4.397	5.534
4.755	3.659	3.838	6.423
5.154	4.357	4.565	4.994
5.192	3.541	5.573	4.245
3.109	5.599	4.417	6.693
5.458	3.656	6.0	5.296
3.966	5.109	5.177	6.451
4.95	4.507	5.226	4.24
4.157	4.234	4.897	5.696
6.217	5.753	6.591	3.899
4.735	3.77	4.791	6.526
4.145	5.394	4.918	4.362
3.073	6.165	3.88	3.995
6.345	1.39	5.851	5.06
5.293	3.286	5.915	5.745
5.403	5.127	5.255	2.807
3.854	5.238	5.183	6.088
6.377	4.289	6.234	6.4
8.127	2.76	8.237	6.506
6.971	3.95	6.978	5.98
5.342	2.937	6.72	6.62
5.999	4.977	6.652	4.628
4.522	3.928	4.874	5.612
3.633	4.335	3.797	5.77
3.442	3.708	4.221	6.709
3.606	4.122	4.244	6.265
4.706	3.624	4.454	6.627
5.554	3.941	5.957	6.367
5.151	4.364	7.081	7.014
4.279	6.824	5.908	4.712
7.075	4.949	7.763	5.852
5.762	6.48	5.816	3.216
6.335	4.478	7.58	6.913
3.048	3.583	3.521	5.156
4.674	4.65	6.18	6.941
3.815	5.46	4.978	5.165
5.275	3.25	5.121	5.068
6.185	3.954	7.329	5.451
4.325	4.289	5.596	6.117
4.959	7.379	5.136	1.791
2.23	5.719	3.521	4.32
6.285	4.055	7.062	5.93
6.21	4.193	5.886	6.653
5.01	2.797	4.984	5.896
5.03	3.553	6.551	6.601
6.765	5.023	6.62	4.465
7.012	3.601	7.095	6.013
6.472	2.394	6.781	5.465
6.563	6.45	6.668	3.949
5.571	3.634	5.889	5.999
4.69	4.509	5.642	4.573
6.381	5.418	7.851	6.997
4.131	4.123	4.519	5.385
4.194	3.141	4.093	6.691
