5.729	4.315	6.478	3.314
5.462	7.601	5.608	2.325
6.318	4.907	6.275	3.414
5.856	4.684	6.065	3.288
4.618	4.553	4.115	4.296
4.086	5.184	3.749	2.992
5.271	5.207	5.893	4.191
4.904	4.158	5.12	4.355
4.492	5.082	5.498	3.252
5.084	3.363	5.959	4.678
5.36	3.057	5.481	3.277
4.34	4.789	4.405	4.459
7.091	3.736	5.986	4.745
6.238	3.044	5.62	4.251
6.357	4.73	6.392	3.14
4.629	5.384	4.069	3.654
5.283	3.583	3.595	4.987
5.455	5.758	6.481	3.432
5.78	5.444	6.667	5.157
3.687	6.19	5.403	5.827
4.362	3.392	4.852	4.393
5.146	5.286	6.293	2.921
4.221	5.022	4.576	3.897
3.854	4.223	4.329	5.363
4.533	4.993	5.285	5.366
1.758	5.18	3.88	5.003
3.558	4.184	5.026	6.747
3.558	4.184	5.026	6.747
6.927	4.35	7.092	5.554
6.737	3.685	6.796	5.169
4.105	4.594	4.773	4.703
4.105	4.594	4.773	4.703
3.637	9.482	4.826	2.495
5.266	3.687	5.857	4.956
6.154	2.243	5.326	4.664
5.78	5.444	6.667	5.157
6.69	4.266	6.462	4.324
5.988	4.959	5.881	4.869
5.988	4.959	5.881	4.869
4.362	3.392	4.852	4.393
5.208	3.783	5.445	6.107
6.899	4.649	6.753	4.782
5.271	5.207	5.893	4.191
4.305	6.856	4.8	4.162
4.707	3.972	4.649	5.317
4.946	3.318	4.341	5.125
5.939	4.622	6.496	4.432
7.668	3.66	6.737	4.514
4.365	4.094	4.031	4.612
4.904	4.158	5.12	4.355
7.091	3.736	5.986	4.745
6.238	3.044	5.62	4.251
4.574	4.989	4.815	3.509
5.502	5.024	5.313	3.168
3.471	6.642	3.876	3.411
6.899	4.649	6.753	4.782
4.126	4.65	3.769	3.643
3.946	6.558	3.58	3.81
6.585	4.392	6.426	4.262
6.37	4.563	5.929	5.438
7.715	2.95	7.214	5.21
6.37	4.563	5.929	5.438
5.797	4.091	5.699	5.135
6.186	4.984	6.34	5.237
4.623	4.342	5.173	4.369
6.656	3.939	6.291	3.722
3.992	5.427	3.937	2.786
4.543	4.542	4.771	3.857
4.038	4.684	5.449	6.151
4.703	4.248	4.545	4.636
6.115	3.875	6.421	5.226
4.637	3.122	6.022	6.141
4.637	3.122	6.022	6.141
7.231	5.551	7.034	4.084
5.041	5.262	5.452	3.244
6.737	3.685	6.796	5.169
5.146	5.286	6.293	2.921
5.363	4.012	5.313	4.67
5.282	4.733	3.855	3.517
5.179	5.867	5.782	3.313
5.271	5.207	5.893	4.191
6.024	3.639	5.989	4.218
4.645	4.423	5.334	4.554
2.148	5.225	3.238	5.734
2.148	5.225	3.238	5.734
5.459	5.185	5.775	3.845
5.363	4.012	5.313	4.67
5.455	5.758	6.481	3.432
7.609	4.068	7.125	4.251
4.581	5.37	4.351	4.791
5.282	4.733	3.855	3.517
5.282	4.733	3.855	3.517
6.37	4.563	5.929	5.438
4.838	3.787	4.353	6.606
5.678	4.678	6.399	4.344
4.517	4.543	5.262	4.377
4.284	5.187	4.291	2.394
2.066	5.27	3.092	6.958
5.636	4.982	6.324	4.788
3.849	4.355	4.489	5.745
4.735	5.166	4.84	4.828
5.606	4.359	6.407	5.813
4.517	4.543	5.262	4.377
5.199	5.793	6.307	5.462
7.28	5.152	7.579	6.993
5.797	4.091	5.699	5.135
5.071	5.046	5.404	4.465
4.535	3.722	4.993	4.11
7.609	4.068	7.125	4.251
5.505	5.35	5.591	4.115
5.797	4.091	5.699	5.135
6.357	4.73	6.392	3.14
4.574	4.989	4.815	3.509
5.879	4.217	6.089	5.169
5.939	4.622	6.496	4.432
5.988	4.959	5.881	4.869
4.776	7.194	4.925	3.8
7.052	4.244	7.392	5.644
5.363	4.012	5.313	4.67
5.063	4.759	5.547	2.461
6.006	4.14	6.125	3.592
4.904	4.158	5.12	4.355
4.871	5.29	5.48	4.82
3.849	4.355	4.489	5.745
6.505	2.987	5.655	4.892
3.272	5.082	5.086	2.77
5.285	5.76	5.909	5.609
5.285	5.76	5.909	5.609
3.845	4.253	4.018	5.566
3.197	5.145	3.656	3.87
4.992	5.532	5.702	2.743
2.909	4.693	2.909	3.725
5.797	4.091	5.699	5.135
6.762	4.555	6.202	4.402
4.918	3.671	4.287	5.855
7.094	3.094	7.609	5.535
4.809	4.122	4.276	5.456
4.569	4.657	4.836	6.11
7.046	5.328	7.188	4.283
4.267	4.474	4.317	6.064
2.169	5.363	3.456	3.255
4.32	3.797	4.962	5.287
3.272	5.082	5.086	2.77
4.629	5.384	4.069	3.654
3.928	4.558	5.25	6.463
3.928	4.558	5.25	6.463
2.912	6.453	3.91	6.91
4.539	4.076	4.98	5.08
5.636	4.982	6.324	4.788
6.39	3.984	6.283	5.386
7.146	3.746	7.281	6.526
4.582	4.601	4.267	4.38
6.145	4.854	5.769	4.956
5.797	4.091	5.699	5.135
4.32	3.797	4.962	5.287
5.521	4.167	6.112	5.994
6.697	3.796	6.538	5.563
3.687	6.19	5.403	5.827
3.165	4.992	3.104	5.943
5.063	4.759	5.547	2.461
5.83	4.43	6.186	6.094
6.024	3.639	5.989	4.218
6.024	3.639	5.989	4.218
3.946	6.558	3.58	3.81
4.067	4.969	4.844	5.953
4.565	4.586	4.895	5.688
5.459	5.185	5.775	3.845
6.899	4.649	6.753	4.782
4.574	4.989	4.815	3.509
5.635	4.41	4.627	4.416
4.858	3.761	4.613	4.818
4.574	4.989	4.815	3.509
4.302	5.764	5.538	4.605
7.046	5.328	7.188	4.283
4.221	5.022	4.576	3.897
5.089	4.579	5.959	4.59
7.301	4.84	7.403	4.138
4.883	5.789	5.638	4.887
6.237	4.41	7.63	4.806
4.962	6.017	6.615	3.658
5.724	3.535	5.231	4.213
7.091	3.736	5.986	4.745
6.238	3.044	5.62	4.251
4.623	4.342	5.173	4.369
5.635	4.41	4.627	4.416
6.095	3.939	6.004	5.115
4.784	6.195	5.455	4.179
5.374	3.483	4.226	5.159
4.574	4.989	4.815	3.509
5.481	3.993	5.616	6.369
6.007	4.623	5.946	4.233
6.007	4.623	5.946	4.233
5.939	4.622	6.496	4.432
6.899	4.649	6.753	4.782
5.791	4.748	5.715	6.159
6.369	2.198	5.93	5.656
7.409	4.408	7.485	5.932
5.199	5.793	6.307	5.462
5.199	5.793	6.307	5.462
7.409	4.408	7.485	5.932
5.363	4.012	5.313	4.67
4.395	4.355	4.273	5.373
5.515	4.926	5.617	4.657
4.072	4.962	4.427	4.739
5.897	3.791	5.431	5.036
5.121	5.689	5.932	5.082
5.883	4.736	5.401	4.313
4.409	4.19	4.522	2.325
3.992	5.427	3.937	2.786
5.939	4.622	6.496	4.432
4.969	5.063	6.174	5.37
5.009	4.618	4.41	5.322
7.301	4.84	7.403	4.138
5.208	3.783	5.445	6.107
4.582	4.601	4.267	4.38
6.451	3.77	6.061	5.775
5.04	5.403	5.229	4.877
3.165	4.992	3.104	5.943
4.147	5.948	5.062	5.989
5.939	4.622	6.496	4.432
4.147	5.948	5.062	5.989
3.471	6.642	3.876	3.411
5.939	4.622	6.496	4.432
4.904	4.158	5.12	4.355
4.723	4.0	4.967	4.28
5.522	5.665	6.423	3.863
5.593	4.08	6.212	2.968
8.339	3.594	7.845	5.475
4.784	6.195	5.455	4.179
5.013	4.479	5.166	4.998
4.574	4.989	4.815	3.509
4.784	6.195	5.455	4.179
5.013	4.479	5.166	4.998
4.363	4.406	5.683	5.129
5.797	4.091	5.699	5.135
5.877	4.455	6.323	5.874
5.877	4.455	6.323	5.874
4.517	4.543	5.262	4.377
6.632	4.032	5.846	6.096
6.632	4.032	5.846	6.096
6.632	4.032	5.846	6.096
5.374	3.483	4.226	5.159
6.016	3.858	5.2	4.759
5.338	4.201	5.412	6.327
4.592	8.133	5.379	2.691
4.776	7.194	4.925	3.8
4.776	7.194	4.925	3.8
5.635	4.41	4.627	4.416
6.649	3.849	6.131	4.104
4.872	4.052	4.293	2.326
4.872	4.052	4.293	2.326
6.37	4.563	5.929	5.438
2.029	6.414	4.356	3.452
3.021	3.784	2.515	5.45
5.05	5.027	5.638	3.565
3.432	5.443	4.056	4.056
3.946	6.558	3.58	3.81
4.643	3.481	5.5	6.246
4.969	5.063	6.174	5.37
4.707	3.972	4.649	5.317
6.357	4.73	6.392	3.14
4.645	4.423	5.334	4.554
4.434	4.488	5.416	5.59
4.83	3.973	5.156	5.915
4.213	4.204	4.565	5.977
5.113	6.57	6.384	5.182
6.007	4.623	5.946	4.233
4.744	2.366	5.178	5.541
6.447	3.171	4.787	4.857
6.447	3.171	4.787	4.857
6.543	3.704	5.874	5.068
4.441	5.817	4.294	4.544
5.407	4.165	5.485	5.218
4.789	2.914	5.518	4.306
6.186	4.984	6.34	5.237
6.737	3.685	6.796	5.169
4.574	4.989	4.815	3.509
7.609	4.068	7.125	4.251
5.459	5.185	5.775	3.845
7.091	3.736	5.986	4.745
3.946	6.558	3.58	3.81
6.015	4.933	6.62	4.976
4.362	3.392	4.852	4.393
6.422	4.279	5.867	3.007
6.09	3.692	6.53	4.771
4.776	7.194	4.925	3.8
6.75	3.67	6.456	6.461
6.737	3.685	6.796	5.169
5.459	5.185	5.775	3.845
5.57	5.081	6.23	5.283
6.585	4.392	6.426	4.262
6.024	3.639	5.989	4.218
5.473	4.618	5.791	5.475
5.473	4.618	5.791	5.475
5.312	3.915	4.76	4.856
4.363	4.406	5.683	5.129
